Index Name,Date,Open,High,Low,Close
NIFTY 50,28-Nov-25,26237.45,26280.75,26172.4,26202.95
NIFTY 50,27-Nov-25,26261.25,26310.45,26141.9,26215.55
NIFTY 50,26-Nov-25,25842.95,26215.15,25842.95,26205.3
NIFTY 50,25-Nov-25,25998.5,26032.6,25857.5,25884.8
NIFTY 50,24-Nov-25,26122.8,26142.8,25912.15,25959.5
NIFTY 50,21-Nov-25,26109.55,26179.2,26052.2,26068.15
NIFTY 50,20-Nov-25,26132.1,26246.65,26063.2,26192.15
NIFTY 50,19-Nov-25,25918.1,26074.65,25856.2,26052.65
NIFTY 50,18-Nov-25,26021.8,26029.85,25876.5,25910.05
NIFTY 50,17-Nov-25,25948.2,26024.2,25906.35,26013.45
NIFTY 50,14-Nov-25,25767.9,25940.2,25740.8,25910.05
NIFTY 50,13-Nov-25,25906.1,26010.7,25808.4,25879.15
NIFTY 50,12-Nov-25,25834.3,25934.55,25781.15,25875.8
NIFTY 50,11-Nov-25,25617,25715.8,25449.25,25694.95
NIFTY 50,10-Nov-25,25503.5,25653.45,25503.5,25574.35
NIFTY 50,07-Nov-25,25433.8,25551.25,25318.45,25492.3
NIFTY 50,06-Nov-25,25593.35,25679.15,25491.55,25509.7
NIFTY 50,04-Nov-25,25744.75,25787.4,25578.4,25597.65
NIFTY 50,03-Nov-25,25696.85,25803.1,25645.5,25763.35
NIFTY 50,31-Oct-25,25863.8,25953.75,25711.2,25722.1
NIFTY 50,30-Oct-25,25984.4,26032.05,25845.25,25877.85
NIFTY 50,29-Oct-25,25982,26097.85,25960.3,26053.9
NIFTY 50,28-Oct-25,25939.95,26041.7,25810.05,25936.2
NIFTY 50,27-Oct-25,25843.2,26005.95,25827,25966.05
NIFTY 50,24-Oct-25,25935.1,25944.15,25718.2,25795.15
NIFTY 50,23-Oct-25,26057.2,26104.2,25862.45,25891.4
NIFTY 50,21-Oct-25,25901.2,25934.35,25825.8,25868.6
NIFTY 50,20-Oct-25,25824.6,25926.2,25788.5,25843.15
NIFTY 50,17-Oct-25,25546.85,25781.5,25508.6,25709.85
NIFTY 50,16-Oct-25,25394.9,25625.4,25376.85,25585.3
NIFTY 50,15-Oct-25,25181.95,25365.15,25159.35,25323.55
NIFTY 50,14-Oct-25,25277.55,25310.35,25060.55,25145.5
NIFTY 50,13-Oct-25,25177.3,25267.3,25152.3,25227.35
NIFTY 50,10-Oct-25,25167.65,25330.75,25156.85,25285.35
NIFTY 50,09-Oct-25,25074.3,25199.25,25024.3,25181.8
NIFTY 50,08-Oct-25,25079.75,25192.5,25008.5,25046.15
NIFTY 50,07-Oct-25,25085.3,25220.9,25076.3,25108.3
NIFTY 50,06-Oct-25,24916.55,25095.95,24881.65,25077.65
NIFTY 50,03-Oct-25,24759.55,24904.8,24747.55,24894.25
NIFTY 50,01-Oct-25,24620.55,24867.95,24605.95,24836.3
NIFTY 50,30-Sep-25,24691.95,24731.8,24587.7,24611.1
NIFTY 50,29-Sep-25,24728.55,24791.3,24606.2,24634.9
NIFTY 50,26-Sep-25,24818.55,24868.6,24629.45,24654.7
NIFTY 50,25-Sep-25,25034.5,25092.7,24878.3,24890.85
NIFTY 50,24-Sep-25,25108.75,25149.85,25027.45,25056.9
NIFTY 50,23-Sep-25,25209,25261.9,25084.65,25169.5
NIFTY 50,22-Sep-25,25238.1,25331.7,25151.05,25202.35
NIFTY 50,19-Sep-25,25410.2,25431.4,25286.3,25327.05
NIFTY 50,18-Sep-25,25441.05,25448.55,25329.75,25423.6
NIFTY 50,17-Sep-25,25276.6,25346.5,25275.35,25330.25
NIFTY 50,16-Sep-25,25073.6,25261.4,25070.45,25239.1
NIFTY 50,15-Sep-25,25118.9,25138.45,25048.75,25069.2
NIFTY 50,12-Sep-25,25074.45,25139.45,25038.05,25114
NIFTY 50,11-Sep-25,24945.5,25037.3,24940.15,25005.5
NIFTY 50,10-Sep-25,24991,25035.7,24915.05,24973.1
NIFTY 50,09-Sep-25,24864.1,24891.8,24814,24868.6
NIFTY 50,08-Sep-25,24802.6,24885.5,24751.55,24773.15
NIFTY 50,05-Sep-25,24818.85,24832.35,24621.6,24741
NIFTY 50,04-Sep-25,24980.75,24980.75,24708.2,24734.3
NIFTY 50,03-Sep-25,24616.5,24737.05,24533.2,24715.05
NIFTY 50,02-Sep-25,24653,24756.1,24522.35,24579.6
NIFTY 50,01-Sep-25,24432.7,24635.6,24432.7,24625.05
NIFTY 50,29-Aug-25,24466.7,24572.45,24404.7,24426.85
NIFTY 50,28-Aug-25,24695.8,24702.65,24481.6,24500.9
NIFTY 50,26-Aug-25,24899.5,24919.65,24689.6,24712.05
NIFTY 50,25-Aug-25,24949.15,25021.55,24894.35,24967.75
NIFTY 50,22-Aug-25,25064.15,25084.85,24859.15,24870.1
NIFTY 50,21-Aug-25,25142,25153.65,25054.9,25083.75
NIFTY 50,20-Aug-25,24965.8,25088.7,24929.7,25050.55
NIFTY 50,19-Aug-25,24891.35,25012.65,24873.95,24980.65
NIFTY 50,18-Aug-25,24938.2,25022,24852.85,24876.95
NIFTY 50,14-Aug-25,24607.25,24673.65,24596.9,24631.3
NIFTY 50,13-Aug-25,24586.2,24664.55,24535.25,24619.35
NIFTY 50,12-Aug-25,24563.35,24702.6,24465.65,24487.4
NIFTY 50,11-Aug-25,24371.5,24600.85,24347.45,24585.05
NIFTY 50,08-Aug-25,24544.25,24585.5,24337.5,24363.3
NIFTY 50,07-Aug-25,24464.2,24634.2,24344.15,24596.15
NIFTY 50,06-Aug-25,24641.35,24671.4,24539.2,24574.2
NIFTY 50,05-Aug-25,24720.25,24733.1,24590.3,24649.55
NIFTY 50,04-Aug-25,24596.05,24736.25,24554,24722.75
NIFTY 50,01-Aug-25,24734.9,24784.15,24535.05,24565.35
NIFTY 50,31-Jul-25,24642.25,24956.5,24635,24768.35
NIFTY 50,30-Jul-25,24890.4,24902.3,24771.95,24855.05
NIFTY 50,29-Jul-25,24609.65,24847.15,24598.6,24821.1
